




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1236)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of multicellular organismal process (GO:0051239)	2673	277	160.42	+	1.73	1.64E-18	2.59E-14
positive regulation of metabolic process (GO:0009893)	3820	357	229.26	+	1.56	1.32E-17	5.22E-14
positive regulation of macromolecule metabolic process (GO:0010604)	3522	336	211.37	+	1.59	1.27E-17	6.71E-14
positive regulation of cellular metabolic process (GO:0031325)	3314	321	198.89	+	1.61	1.19E-17	9.41E-14
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	305	187.43	+	1.63	4.58E-17	1.21E-13
positive regulation of cellular process (GO:0048522)	5741	486	344.54	+	1.41	4.20E-17	1.33E-13
positive regulation of biological process (GO:0048518)	6331	520	379.95	+	1.37	3.82E-16	8.63E-13
developmental process (GO:0032502)	5797	485	347.90	+	1.39	4.50E-16	8.90E-13
anatomical structure development (GO:0048856)	5330	453	319.88	+	1.42	7.11E-16	1.25E-12
multicellular organism development (GO:0007275)	4941	425	296.53	+	1.43	1.70E-15	2.69E-12
positive regulation of RNA metabolic process (GO:0051254)	1773	193	106.41	+	1.81	1.34E-14	1.93E-11
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	205	116.49	+	1.76	3.01E-14	3.96E-11
system development (GO:0048731)	4330	377	259.86	+	1.45	4.35E-14	5.29E-11
positive regulation of biosynthetic process (GO:0009891)	2004	209	120.27	+	1.74	4.73E-14	5.34E-11
positive regulation of cellular biosynthetic process (GO:0031328)	1969	206	118.17	+	1.74	6.33E-14	6.67E-11
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	197	111.81	+	1.76	1.05E-13	1.04E-10
positive regulation of RNA biosynthetic process (GO:1902680)	1629	178	97.76	+	1.82	1.27E-13	1.06E-10
positive regulation of transcription, DNA-templated (GO:0045893)	1628	178	97.70	+	1.82	1.24E-13	1.09E-10
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	178	97.70	+	1.82	1.24E-13	1.15E-10
anatomical structure morphogenesis (GO:0009653)	2158	216	129.51	+	1.67	8.18E-13	6.15E-10
negative regulation of cellular process (GO:0048523)	4902	409	294.19	+	1.39	8.10E-13	6.40E-10
cellular developmental process (GO:0048869)	3634	322	218.09	+	1.48	1.19E-12	8.57E-10
nervous system development (GO:0007399)	2218	219	133.11	+	1.65	1.57E-12	1.08E-09
negative regulation of biological process (GO:0048519)	5501	447	330.14	+	1.35	1.65E-12	1.09E-09
regulation of developmental process (GO:0050793)	2461	236	147.70	+	1.60	2.85E-12	1.80E-09
cell differentiation (GO:0030154)	3575	315	214.55	+	1.47	4.49E-12	2.73E-09
regulation of cell differentiation (GO:0045595)	1586	168	95.18	+	1.77	7.50E-12	4.24E-09
animal organ development (GO:0048513)	3220	289	193.25	+	1.50	7.28E-12	4.26E-09
regulation of macromolecule metabolic process (GO:0060255)	6340	497	380.49	+	1.31	1.00E-11	5.46E-09
generation of neurons (GO:0048699)	1271	142	76.28	+	1.86	1.56E-11	8.23E-09
regulation of cellular biosynthetic process (GO:0031326)	4163	352	249.84	+	1.41	1.90E-11	9.67E-09
regulation of cellular metabolic process (GO:0031323)	6138	482	368.37	+	1.31	2.43E-11	1.20E-08
animal organ morphogenesis (GO:0009887)	956	115	57.37	+	2.00	2.59E-11	1.24E-08
regulation of biosynthetic process (GO:0009889)	4226	355	253.62	+	1.40	3.14E-11	1.46E-08
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	337	238.14	+	1.42	3.81E-11	1.67E-08
regulation of nitrogen compound metabolic process (GO:0051171)	5740	455	344.48	+	1.32	3.78E-11	1.71E-08
regulation of RNA metabolic process (GO:0051252)	3782	324	226.98	+	1.43	4.58E-11	1.96E-08
regulation of metabolic process (GO:0019222)	6874	527	412.54	+	1.28	4.90E-11	2.04E-08
response to endogenous stimulus (GO:0009719)	1426	152	85.58	+	1.78	5.53E-11	2.24E-08
regulation of primary metabolic process (GO:0080090)	5925	466	355.59	+	1.31	5.71E-11	2.25E-08
regulation of gene expression (GO:0010468)	4922	400	295.39	+	1.35	6.40E-11	2.47E-08
regulation of macromolecule biosynthetic process (GO:0010556)	3999	338	240.00	+	1.41	6.97E-11	2.63E-08
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	341	243.00	+	1.40	8.51E-11	3.13E-08
regulation of signaling (GO:0023051)	3545	306	212.75	+	1.44	9.18E-11	3.30E-08
sensory perception of chemical stimulus (GO:0007606)	543	3	32.59	-	.09	1.18E-10	4.13E-08
neurogenesis (GO:0022008)	1391	148	83.48	+	1.77	1.46E-10	5.00E-08
negative regulation of macromolecule metabolic process (GO:0010605)	2880	257	172.84	+	1.49	3.15E-10	1.06E-07
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	132	72.74	+	1.81	3.58E-10	1.18E-07
regulation of RNA biosynthetic process (GO:2001141)	3480	297	208.85	+	1.42	6.49E-10	2.09E-07
regulation of cellular component organization (GO:0051128)	2390	220	143.43	+	1.53	6.85E-10	2.17E-07
negative regulation of cellular biosynthetic process (GO:0031327)	1610	162	96.62	+	1.68	7.37E-10	2.28E-07
regulation of nucleic acid-templated transcription (GO:1903506)	3475	296	208.55	+	1.42	8.18E-10	2.44E-07
regulation of transcription, DNA-templated (GO:0006355)	3474	296	208.49	+	1.42	8.11E-10	2.47E-07
sensory perception of smell (GO:0007608)	468	2	28.09	-	.07	8.84E-10	2.59E-07
regulation of multicellular organismal development (GO:2000026)	1332	140	79.94	+	1.75	9.13E-10	2.63E-07
negative regulation of metabolic process (GO:0009892)	3095	269	185.75	+	1.45	1.03E-09	2.91E-07
negative regulation of cellular metabolic process (GO:0031324)	2613	235	156.82	+	1.50	1.26E-09	3.50E-07
negative regulation of biosynthetic process (GO:0009890)	1643	163	98.60	+	1.65	1.51E-09	4.11E-07
multicellular organismal process (GO:0032501)	6926	521	415.66	+	1.25	1.57E-09	4.22E-07
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	155	92.42	+	1.68	1.87E-09	4.92E-07
enzyme linked receptor protein signaling pathway (GO:0007167)	723	89	43.39	+	2.05	2.31E-09	5.99E-07
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	3	29.17	-	.10	2.38E-09	6.07E-07
regulation of cell communication (GO:0010646)	3509	296	210.59	+	1.41	2.44E-09	6.11E-07
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	155	93.08	+	1.67	2.94E-09	7.26E-07
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	221	147.22	+	1.50	3.25E-09	7.91E-07
biological regulation (GO:0065007)	12568	857	754.26	+	1.14	3.46E-09	8.29E-07
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	2	26.47	-	.08	4.12E-09	9.73E-07
localization (GO:0051179)	5831	448	349.94	+	1.28	4.45E-09	1.03E-06
response to organic substance (GO:0010033)	3008	259	180.52	+	1.43	6.25E-09	1.43E-06
regulation of biological process (GO:0050789)	11898	817	714.05	+	1.14	6.58E-09	1.49E-06
regulation of signal transduction (GO:0009966)	3128	266	187.73	+	1.42	1.08E-08	2.40E-06
regulation of cell projection organization (GO:0031344)	648	80	38.89	+	2.06	1.16E-08	2.54E-06
regulation of localization (GO:0032879)	2753	239	165.22	+	1.45	1.67E-08	3.62E-06
regulation of cellular process (GO:0050794)	11351	782	681.23	+	1.15	1.73E-08	3.69E-06
detection of chemical stimulus (GO:0009593)	522	5	31.33	-	.16	1.77E-08	3.72E-06
neuron differentiation (GO:0030182)	1043	112	62.60	+	1.79	2.00E-08	4.15E-06
regulation of neuron projection development (GO:0010975)	447	61	26.83	+	2.27	2.83E-08	5.82E-06
head development (GO:0060322)	803	92	48.19	+	1.91	3.16E-08	6.41E-06
positive regulation of protein metabolic process (GO:0051247)	1562	151	93.74	+	1.61	3.24E-08	6.47E-06
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	77	37.87	+	2.03	3.35E-08	6.62E-06
regulation of biological quality (GO:0065008)	3995	321	239.76	+	1.34	4.88E-08	9.53E-06
regulation of cell population proliferation (GO:0042127)	1654	157	99.26	+	1.58	5.23E-08	1.01E-05
negative regulation of developmental process (GO:0051093)	879	97	52.75	+	1.84	5.49E-08	1.05E-05
positive regulation of multicellular organismal process (GO:0051240)	1431	140	85.88	+	1.63	6.11E-08	1.15E-05
negative regulation of cell differentiation (GO:0045596)	644	77	38.65	+	1.99	7.25E-08	1.35E-05
brain development (GO:0007420)	759	87	45.55	+	1.91	7.59E-08	1.40E-05
regulation of response to stimulus (GO:0048583)	4306	340	258.42	+	1.32	9.13E-08	1.66E-05
embryo development (GO:0009790)	991	105	59.47	+	1.77	9.56E-08	1.72E-05
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	146	91.70	+	1.59	1.11E-07	1.97E-05
regulation of transcription by RNA polymerase II (GO:0006357)	2595	223	155.74	+	1.43	1.15E-07	2.01E-05
positive regulation of cellular protein metabolic process (GO:0032270)	1474	142	88.46	+	1.61	1.23E-07	2.13E-05
negative regulation of transcription, DNA-templated (GO:0045892)	1297	128	77.84	+	1.64	1.54E-07	2.64E-05
positive regulation of developmental process (GO:0051094)	1271	126	76.28	+	1.65	1.61E-07	2.71E-05
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	128	77.96	+	1.64	1.60E-07	2.71E-05
cellular response to endogenous stimulus (GO:0071495)	1152	117	69.14	+	1.69	1.66E-07	2.75E-05
negative regulation of signaling (GO:0023057)	1405	136	84.32	+	1.61	1.69E-07	2.78E-05
response to growth factor (GO:0070848)	526	66	31.57	+	2.09	1.72E-07	2.81E-05
negative regulation of multicellular organismal process (GO:0051241)	1014	106	60.85	+	1.74	1.78E-07	2.87E-05
cell morphogenesis (GO:0000902)	715	82	42.91	+	1.91	1.82E-07	2.90E-05
positive regulation of cell differentiation (GO:0045597)	840	92	50.41	+	1.82	2.03E-07	3.21E-05
positive regulation of signaling (GO:0023056)	1761	162	105.69	+	1.53	2.10E-07	3.29E-05
negative regulation of RNA biosynthetic process (GO:1902679)	1301	128	78.08	+	1.64	2.15E-07	3.33E-05
cellular response to growth factor stimulus (GO:0071363)	497	63	29.83	+	2.11	2.18E-07	3.34E-05
neuron development (GO:0048666)	846	92	50.77	+	1.81	2.32E-07	3.39E-05
negative regulation of RNA metabolic process (GO:0051253)	1408	136	84.50	+	1.61	2.31E-07	3.41E-05
cellular response to organic substance (GO:0071310)	2344	204	140.67	+	1.45	2.30E-07	3.43E-05
negative regulation of signal transduction (GO:0009968)	1305	128	78.32	+	1.63	2.26E-07	3.43E-05
positive regulation of signal transduction (GO:0009967)	1584	149	95.06	+	1.57	2.29E-07	3.44E-05
regulation of neurogenesis (GO:0050767)	364	51	21.85	+	2.33	2.39E-07	3.46E-05
negative regulation of cell communication (GO:0010648)	1401	135	84.08	+	1.61	2.94E-07	4.23E-05
regulation of protein metabolic process (GO:0051246)	2665	225	159.94	+	1.41	3.94E-07	5.61E-05
positive regulation of cell communication (GO:0010647)	1755	160	105.33	+	1.52	4.55E-07	6.42E-05
intracellular signal transduction (GO:0035556)	1677	154	100.64	+	1.53	4.70E-07	6.58E-05
regulation of nervous system development (GO:0051960)	443	57	26.59	+	2.14	6.15E-07	8.53E-05
neuron projection development (GO:0031175)	691	78	41.47	+	1.88	6.28E-07	8.63E-05
regulation of programmed cell death (GO:0043067)	1532	143	91.94	+	1.56	6.43E-07	8.76E-05
cellular component organization (GO:0016043)	5783	430	347.06	+	1.24	6.57E-07	8.88E-05
response to hormone (GO:0009725)	819	88	49.15	+	1.79	7.09E-07	9.49E-05
regulation of developmental growth (GO:0048638)	320	45	19.20	+	2.34	9.20E-07	1.22E-04
cell surface receptor signaling pathway (GO:0007166)	2495	211	149.74	+	1.41	9.38E-07	1.24E-04
negative regulation of response to stimulus (GO:0048585)	1831	164	109.89	+	1.49	9.59E-07	1.25E-04
positive regulation of cellular component organization (GO:0051130)	1161	114	69.68	+	1.64	9.80E-07	1.26E-04
regulation of cell death (GO:0010941)	1668	152	100.10	+	1.52	9.77E-07	1.27E-04
positive regulation of neurogenesis (GO:0050769)	227	36	13.62	+	2.64	1.05E-06	1.34E-04
positive regulation of phosphorylation (GO:0042327)	921	95	55.27	+	1.72	1.35E-06	1.70E-04
cellular response to stimulus (GO:0051716)	6807	492	408.52	+	1.20	1.45E-06	1.82E-04
regulation of apoptotic process (GO:0042981)	1493	138	89.60	+	1.54	1.51E-06	1.88E-04
positive regulation of nervous system development (GO:0051962)	274	40	16.44	+	2.43	1.60E-06	1.97E-04
pattern specification process (GO:0007389)	426	54	25.57	+	2.11	1.77E-06	2.17E-04
tissue development (GO:0009888)	1729	155	103.77	+	1.49	1.88E-06	2.28E-04
cell projection morphogenesis (GO:0048858)	507	61	30.43	+	2.00	1.92E-06	2.28E-04
positive regulation of protein phosphorylation (GO:0001934)	838	88	50.29	+	1.75	1.90E-06	2.29E-04
cellular response to chemical stimulus (GO:0070887)	2914	238	174.88	+	1.36	1.91E-06	2.29E-04
G protein-coupled receptor signaling pathway (GO:0007186)	1305	40	78.32	-	.51	2.44E-06	2.85E-04
central nervous system development (GO:0007417)	1000	100	60.01	+	1.67	2.42E-06	2.86E-04
cellular process (GO:0009987)	15495	1002	929.93	+	1.08	2.47E-06	2.87E-04
positive regulation of growth (GO:0045927)	257	38	15.42	+	2.46	2.52E-06	2.90E-04
locomotion (GO:0040011)	1345	126	80.72	+	1.56	2.64E-06	3.03E-04
